epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,381.28,1.28105,1.48441,1.25954,0.57072,0.39776,0.4306,0.23694,1.65991,1.69654,1.56986,0.000664537,0.000664537,0.000664537
2,724.584,1.46378,1.44661,1.39776,0.57683,0.43584,0.48479,0.27272,1.54132,1.5642,1.46784,0.00126531,0.00126531,0.00126531
3,1159.32,1.47085,1.41403,1.4033,0.59751,0.47623,0.50611,0.27359,1.56717,1.54082,1.47281,0.00180008,0.00180008,0.00180008
4,1572.49,1.45153,1.38969,1.39558,0.649,0.48863,0.54444,0.30713,1.54438,1.3895,1.44293,0.001703,0.001703,0.001703
5,1967.74,1.41367,1.33312,1.37261,0.66905,0.51403,0.57671,0.33378,1.43847,1.32768,1.37176,0.001604,0.001604,0.001604
6,2326.66,1.3695,1.2711,1.34243,0.67796,0.51942,0.58523,0.34524,1.40373,1.30948,1.3703,0.001505,0.001505,0.001505
7,2712.39,1.34433,1.23216,1.33173,0.69598,0.52672,0.60295,0.36998,1.36072,1.20979,1.3346,0.001406,0.001406,0.001406
8,3067.86,1.31525,1.18775,1.30561,0.71534,0.54071,0.62537,0.39027,1.30334,1.14809,1.28878,0.001307,0.001307,0.001307
9,3489.24,1.29848,1.16946,1.2932,0.71971,0.55571,0.63724,0.39289,1.30437,1.12397,1.2894,0.001208,0.001208,0.001208
10,3817.66,1.27041,1.14136,1.27913,0.72813,0.55616,0.63923,0.40363,1.27176,1.11172,1.26745,0.001109,0.001109,0.001109
11,4105.91,1.2838,1.12572,1.28191,0.72333,0.5667,0.64944,0.40848,1.27465,1.10365,1.2678,0.00101,0.00101,0.00101
12,4370.65,1.25822,1.08533,1.26589,0.72955,0.57534,0.65534,0.40983,1.27545,1.08275,1.25761,0.000911,0.000911,0.000911
13,4626.01,1.24076,1.04943,1.25227,0.72679,0.5737,0.65878,0.41878,1.24134,1.05717,1.24048,0.000812,0.000812,0.000812
14,4883.07,1.21327,1.02054,1.23646,0.74286,0.58642,0.67454,0.43426,1.22148,1.00761,1.22895,0.000713,0.000713,0.000713
15,5136.28,1.1955,0.99162,1.22257,0.74464,0.59542,0.68247,0.43908,1.21001,1.00053,1.20984,0.000614,0.000614,0.000614
16,5394.9,1.17698,0.96532,1.20996,0.74683,0.60023,0.68786,0.44739,1.19616,0.97985,1.2109,0.000515,0.000515,0.000515
17,5639.93,1.15683,0.94494,1.19643,0.75401,0.60478,0.69466,0.45434,1.19215,0.95606,1.20473,0.000416,0.000416,0.000416
18,5902.85,1.13346,0.91265,1.18334,0.76119,0.61059,0.70221,0.46011,1.17193,0.94624,1.19413,0.000317,0.000317,0.000317
19,6156.2,1.11285,0.89592,1.17059,0.77027,0.61427,0.70716,0.46784,1.15656,0.92423,1.1831,0.000218,0.000218,0.000218
20,6414.68,1.10123,0.86699,1.16113,0.76563,0.62341,0.71219,0.47154,1.14731,0.90705,1.17196,0.000119,0.000119,0.000119
