epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,257.304,1.17102,0.97658,1.22054,0.74226,0.54419,0.6411,0.40095,1.29318,1.12554,1.27893,0.000666133,0.000666133,0.000666133
2,469.835,1.24248,1.07965,1.26882,0.7352,0.53852,0.63474,0.3913,1.31388,1.12052,1.30923,0.00120085,0.00120085,0.00120085
3,679.465,1.27224,1.10974,1.28867,0.71092,0.54208,0.62155,0.38237,1.34757,1.15724,1.31527,0.00160357,0.00160357,0.00160357
4,897.416,1.2765,1.11144,1.29061,0.7145,0.55708,0.6363,0.39157,1.33051,1.12005,1.30024,0.001406,0.001406,0.001406
5,1110.73,1.24669,1.07245,1.26918,0.73598,0.55654,0.64513,0.40045,1.29187,1.10263,1.28077,0.001208,0.001208,0.001208
6,1325.52,1.21504,1.03567,1.249,0.72209,0.57789,0.65519,0.41417,1.26989,1.05261,1.26983,0.00101,0.00101,0.00101
7,1539.34,1.18863,0.99648,1.22761,0.72969,0.58789,0.66763,0.42554,1.24479,1.02345,1.25179,0.000812,0.000812,0.000812
8,1751.83,1.16762,0.96654,1.21887,0.74705,0.5758,0.66874,0.43019,1.2225,1.02501,1.2326,0.000614,0.000614,0.000614
9,1964.63,1.13733,0.9292,1.19679,0.75618,0.5878,0.68283,0.44381,1.20182,0.98028,1.21783,0.000416,0.000416,0.000416
10,2176.46,1.12181,0.90387,1.18544,0.76486,0.5919,0.69164,0.45159,1.1862,0.95868,1.20451,0.000218,0.000218,0.000218
